,DURG_Class,reporting_year,reporting_number,RF_MAE_with_premium,RF_MAE_after_8_period_with_premium,CL_MAE_with_premium,CL_MAE_after_8_period_with_premium,period
88,DURG_9,2016,1,1164.0586499657056,745.952964653633,1250.4448261890684,417.816011824214,2016Q1
89,DURG_10,2016,1,1275.9989755209117,1027.6718584662644,742.2593114906384,321.1954777740416,2016Q1
90,DURG_1,2016,2,9298.511315539034,6656.393358964811,9405.922086273495,2967.376874153273,2016Q2
91,DURG_2,2016,2,169.9936782622292,180.0169136476229,0.0,0.0,2016Q2
92,DURG_3,2016,2,7163.186746618518,3233.2566606799046,3720.8284850210684,939.8501432999128,2016Q2
93,DURG_4,2016,2,3471.8189849604096,5301.86865441565,1111.960708855887,50.541813676803486,2016Q2
94,DURG_5,2016,2,1857.2120276606902,1688.5665319999998,2252.8097383100576,241.86231489491502,2016Q2
95,DURG_6,2016,2,7437.526142927301,3368.4994100000004,5491.815815063976,2623.011346135885,2016Q2
96,DURG_7,2016,2,2184.4159250000002,2205.770115000001,2296.0632307730375,624.325120914149,2016Q2
97,DURG_8,2016,2,28.02528181413495,2.7455786132698954,30.69619677792577,8.005666350000013,2016Q2
98,DURG_9,2016,2,1053.1136647794606,510.4468596643476,5268.310434871628,157.61720999344016,2016Q2
99,DURG_10,2016,2,1345.5479100415323,950.1261549365854,502.3834423143169,341.0349474779589,2016Q2
100,DURG_1,2016,3,9297.513938118316,6521.894708460361,7652.449318685662,2562.5863192879297,2016Q3
101,DURG_2,2016,3,139.52585125958558,105.46134142116595,0.0,0.0,2016Q3
102,DURG_3,2016,3,7452.556027275043,3320.3016063882296,1070.9020906369046,429.82370001241907,2016Q3
103,DURG_4,2016,3,3503.1340208689508,5295.86218356499,255.76555408098443,166.65402243880908,2016Q3
104,DURG_5,2016,3,1934.5563119101453,1688.5665319999998,1998.6066023723315,255.85638553596618,2016Q3
105,DURG_6,2016,3,7899.504963192945,3323.120007701862,3821.722765242921,3147.5760401866646,2016Q3
106,DURG_7,2016,3,2184.4159250000002,2205.770115000001,2141.3566419224517,424.2809157240263,2016Q3
107,DURG_8,2016,3,33.9943174565069,14.683649898013797,30.69619677792577,8.005666350000013,2016Q3
108,DURG_9,2016,3,921.0754734074533,491.20114664634775,2231.456804554559,241.9807996749887,2016Q3
109,DURG_10,2016,3,1105.033962011026,676.3848596546911,344.1634625626005,124.96821575941249,2016Q3
110,DURG_1,2016,4,9294.742389887237,6558.283558588919,4069.6231339280876,904.8572311765274,2016Q4
111,DURG_2,2016,4,142.0441101185008,111.80374494627523,0.0,0.0,2016Q4
112,DURG_3,2016,4,7277.896900193467,2996.5837708145773,1344.3622386352008,339.24916246619614,2016Q4
113,DURG_4,2016,4,3376.7616300283553,5121.346510076674,150.51129884431282,170.87138619406005,2016Q4
114,DURG_5,2016,4,1799.4670817520855,1688.5665319999998,2251.558465202388,82.17715057526857,2016Q4
115,DURG_6,2016,4,7740.933450224322,3349.303289107058,5297.775476384968,2117.8741135773453,2016Q4
116,DURG_7,2016,4,2499.732875811401,2205.770115000001,1830.0637962095952,339.53379102457075,2016Q4
117,DURG_8,2016,4,29.330513573006975,5.35604213101395,32.41258333730103,11.43495769299409,2016Q4
118,DURG_9,2016,4,872.7574184148594,359.4157889252158,1303.2289240647315,445.0630846145448,2016Q4
119,DURG_10,2016,4,1054.4153002223536,581.0079795883044,232.96525068837582,160.7073270315541,2016Q4
120,DURG_1,2017,1,9466.292554809499,5377.55923261416,72594.97655472517,8015.084737544712,2017Q1
